,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,comment
394,8,new,57,556,598,9M 16S,9M 58S,,,,
395,8,new,62,602,620,10M 2S,10M 20S,,,,
396,8,new,67,708,736,11M 48S,12M 16S,,,,
397,8,new,74,772,798,12M 52S,13M 18S,,,,
398,8,new,106,996,1012,16M 36S,16M 52S,,,,
399,8,new,116,1054,1084,17M 34S,18M 4S,,,,
400,8,new,162,1652,1656,27M 32S,27M 36S,,,,
401,8,new,166,1666,1720,27M 46S,28M 40S,,,,
402,9,new,23,298,316,4M 58S,5M 16S,,,,
403,9,new,36,368,374,6M 8S,6M 14S,,,,
404,9,new,110,782,786,13M 2S,13M 6S,,,,
405,9,new,116,802,816,13M 22S,13M 36S,,,,
406,9,new,131,872,930,14M 32S,15M 30S,,,,
407,9,new,139,934,942,15M 34S,15M 42S,,,,
408,9,new,145,970,976,16M 10S,16M 16S,,,,
409,9,new,149,998,1000,16M 38S,16M 40S,,,,
410,9,new,151,1012,1024,16M 52S,17M 4S,,,,
411,9,new,164,1052,1070,17M 32S,17M 50S,,,,
412,9,new,168,1062,1104,17M 42S,18M 24S,,,,
413,9,new,172,1088,1116,18M 8S,18M 36S,,,,
414,9,new,185,1144,1272,19M 4S,21M 12S,,,,
415,9,new,189,1152,1156,19M 12S,19M 16S,,,,
416,9,new,201,1254,1256,20M 54S,20M 56S,,,,
417,9,new,209,1280,1300,21M 20S,21M 40S,,,,
418,9,new,222,1304,1420,21M 44S,23M 40S,,,,
419,9,new,256,1456,1460,24M 16S,24M 20S,,,,
420,9,new,296,1680,1686,28M 0S,28M 6S,,,,
421,9,new,332,1984,1986,33M 4S,33M 6S,,,,
422,9,new,341,2006,2016,33M 26S,33M 36S,,,,
423,9,new,342,2016,2028,33M 36S,33M 48S,,,,
424,9,new,346,2082,2090,34M 42S,34M 50S,,,,
425,9,new,393,2470,2476,41M 10S,41M 16S,,,,
426,9,new,410,2588,2598,43M 8S,43M 18S,,,,
427,9,new,434,2774,2780,46M 14S,46M 20S,,,,
428,9,new,481,3884,3914,1H 4M 44S,1H 5M 14S,,,,
429,9,new,506,4130,4160,1H 8M 50S,1H 9M 20S,,,,
430,9,new,507,4160,4200,1H 9M 20S,1H 10M 0S,,,,
431,9,new,508,4200,4220,1H 10M 0S,1H 10M 20S,,,,
432,9,new,512,4346,4348,1H 12M 26S,1H 12M 28S,,,,
433,9,new,514,4350,4354,1H 12M 30S,1H 12M 34S,,,,
434,9,new,515,4354,4358,1H 12M 34S,1H 12M 38S,,,,
435,9,new,517,4360,4362,1H 12M 40S,1H 12M 42S,,,,
436,9,new,518,4362,4364,1H 12M 42S,1H 12M 44S,,,,
437,9,new,519,4380,4394,1H 13M 0S,1H 13M 14S,,,,
438,10,new,102,1188,1190,19M 48S,19M 50S,,,,
439,10,new,103,1190,1192,19M 50S,19M 52S,,,,
440,10,new,181,1830,1834,30M 30S,30M 34S,,,,
441,10,new,185,1844,1898,30M 44S,31M 38S,,,,
